Designator,Mid X,Mid Y,Rotation,Layer
C10,59.75,37.5,0.0,top
C11,66.5,35.75,90.0,top
C12,64.250001,32.250002,270.0,top
C13,66.5,32.25,270.0,top
C14,64.250002,35.75,90.0,top
C15,59.75,31.0,0.0,top
C16,56.5,20.75,270.0,top
C17,47.000001,36.75,90.0,top
C18,54.25,32.750001,90.0,top
C19,47.000001,36.75,90.0,bottom
C20,45.5,36.749998,90.0,top
C21,43.0,33.5,180.0,top
C22,45.500001,36.750001,90.0,bottom
C23,42.25,22.25,270.0,top
C24,54.5,21.0,270.0,top
C25,32.749999,30.75,180.0,top
C26,35.0,31.75,180.0,top
C27,37.249999,32.75,180.0,top
C28,60.5,27.5,0.0,top
C29,60.5,22.0,180.0,top
C30,25.5,39.5,135.0,top
C31,19.5,39.5,270.0,top
C32,14.5,45.5,180.0,top
C33,29.0,42.25,270.0,top
C34,68.0,62.0,0.0,top
C35,47.0,68.5,45.0,bottom
C36,37.5,64.5,270.0,top
C37,57.0,51.0,0.0,top
C38,39.5,57.8,0.0,bottom
C39,57.0,62.0,0.0,top
C4,69.0,51.000002,0.0,top
C40,19.5,56.25,270.0,top
C41,59.75,35.75,0.0,top
C42,66.5,19.0,270.0,top
C43,23.5,56.25,270.0,bottom
C44,16.5,56.25,270.0,bottom
C45,25.75,68.0,90.0,bottom
C46,29.75,64.5,270.0,top
C47,27.0,56.25,270.0,bottom
C48,49.0,56.25,270.0,bottom
C49,32.5,57.8,0.0,bottom
C5,68.999999,54.500002,0.0,top
C50,45.5,56.25,270.0,bottom
C51,25.75,56.25,270.0,top
C52,20.0,56.25,270.0,bottom
C56,14.25,68.0,90.0,bottom
C57,8.0,64.0,270.0,top
C58,13.25,59.8,0.0,bottom
C59,49.0,56.25,270.0,top
C6,69.499999,48.500002,0.0,top
C60,52.47,43.206351,90.0,top
C61,41.25,37.75,270.0,top
C62,66.5,28.25,90.0,top
C65,51.25,16.5,0.0,top
C66,35.500002,41.0,90.0,bottom
C67,9.5,34.5,270.0,bottom
C68,7.75,24.0,180.0,top
C7,65.25,39.0,180.0,top
C70,64.75,13.75,90.0,top
C72,62.75,13.76,90.0,top
C73,71.75,66.0,270.0,bottom
C74,8.25,66.0,270.0,bottom
C75,71.75,14.0,90.0,bottom
C76,8.25,14.0,90.0,bottom
C77,49.75,8.0,0.0,top
C78,28.25,13.5,0.0,top
C79,27.25,42.25,270.0,top
C80,31.5,41.75,270.0,top
C81,18.5,13.51,0.0,top
C9,67.5,38.75,270.0,top
D1,65.0,55.25,90.0,bottom
D4,44.75,11.0,180.0,bottom
D7,38.0,11.0,180.0,bottom
DZ2,38.0,37.75,0.0,top
DZ3,66.0,25.5,90.0,top
J1,27.0,9.5,180.0,top
J10,70.5,26.25,270.0,top
J11,70.5,19.0,270.0,top
J2,33.25,9.96,270.0,top
J3,17.25,9.5,180.0,top
J4,38.0,11.0,270.0,top
J5,44.75,11.0,270.0,top
J6,60.75,9.5,180.0,top
J7,7.75,32.5,0.0,top
L2,71.0,36.5,270.0,top
LED1,19.0,20.25,180.0,top
LED3,22.75,20.25,180.0,top
LED4,15.25,20.25,180.0,top
Q3,48.05,62.56375,270.0,top
Q4,41.2,62.43625,90.0,top
Q5,25.05,62.56375,270.0,top
Q6,33.45,62.43625,90.0,top
Q7,18.55,62.56375,270.0,top
Q8,11.7,62.43625,90.0,top
R10,64.5,41.5,90.0,top
R11,61.75,33.75,270.0,top
R12,63.25,41.5,270.0,top
R13,32.749999,31.75,180.0,top
R14,34.999999,32.749999,180.0,top
R15,37.249999,33.75,180.0,top
R16,17.75,38.5,90.0,bottom
R17,13.75,29.0,90.0,top
R18,14.5,44.0,0.0,top
R19,28.75,29.75,90.0,bottom
R20,46.25,55.75,270.0,top
R21,43.5,55.75,270.0,top
R22,40.5,54.75,270.0,top
R23,46.75,65.5,45.0,bottom
R24,37.5,60.5,270.0,top
R25,22.75,55.75,270.0,top
R26,36.0,56.25,270.0,top
R27,32.75,54.75,270.0,top
R28,25.75,64.25,90.0,bottom
R29,29.75,60.5,270.0,top
R30,16.75,55.75,270.0,top
R31,14.25,55.75,270.0,top
R32,11.0,54.75,270.0,top
R33,14.25,64.25,90.0,bottom
R34,8.0,60.0,270.0,top
R36,53.47,43.206351,90.0,top
R37,39.0,40.25,180.0,top
R38,40.25,37.75,270.0,top
R39,65.5,28.250001,90.0,top
R40,53.0,7.5,270.0,top
R41,65.0,19.5,180.0,top
R42,17.0,15.25,180.0,top
R44,15.0,15.25,0.0,top
R45,7.75,22.25,0.0,top
R46,11.75,22.25,0.0,top
R47,60.75,13.75,90.0,top
R48,16.75,13.76,90.0,top
R49,59.5,13.76,90.0,top
R50,15.25,13.76,90.0,top
R51,58.25,13.76,90.0,top
R52,26.5,13.75,90.0,top
R53,57.0,13.76,90.0,top
R54,25.25,13.75,90.0,top
R56,73.5,66.0,270.0,bottom
R57,6.5,66.0,270.0,bottom
R58,73.5,14.0,90.0,bottom
R59,6.5,14.0,90.0,bottom
R62,18.75,18.5,180.0,top
R65,22.5,18.5,180.0,top
R66,15.0,18.45,180.0,top
R72,54.97,43.706351,0.0,top
R73,54.97,42.706351,180.0,top
SW1,9.75,17.25,0.0,top
TP11,52.0,18.5,0.0,top
TP12,49.75,17.75,0.0,top
TP13,26.5,15.25,90.0,top
TP14,25.25,15.25,90.0,top
TP15,38.5,30.75,45.0,top
TP16,39.25,31.75,45.0,top
TP17,40.0,32.75,45.0,top
TP18,13.25,36.75,45.0,top
TP19,14.25,36.75,45.0,top
TP20,15.25,36.75,45.0,top
TP21,27.5,28.25,45.0,top
TP22,26.75,26.0,45.0,top
TP23,27.75,27.0,45.0,top
TP24,25.5,26.25,45.0,top
TP25,26.5,27.25,45.0,top
TP26,30.75,29.75,45.0,top
TP27,24.0,26.0,0.0,top
TP28,33.0,27.5,0.0,top
TP29,32.75,28.5,0.0,top
TP30,23.0,25.0,45.0,top
TP31,22.0,25.0,45.0,top
TP32,23.0,26.0,45.0,top
TP33,22.0,24.0,45.0,top
TP34,51.72,41.956351,45.0,top
TP35,45.75,40.25,45.0,top
TP36,64.5,27.75,45.0,top
TP37,31.85,46.25,0.0,top
TP38,31.05,47.25,0.0,top
TP39,30.25,48.25,0.0,top
TP40,22.75,52.0,0.0,top
TP41,24.75,51.75,0.0,top
TP42,26.0,51.0,0.0,top
TP43,21.0,51.5,0.0,top
TP44,19.75,51.5,0.0,top
TP45,19.75,50.25,0.0,top
TP6,62.0,39.5,0.0,top
TP7,57.75,37.5,90.0,top
TP9,57.5,31.75,90.0,top
